,id,age,gender,activities,bike,run,swim,other,1s_critical_power,15s_critical_power,2m_critical_power,3m_critical_power,5m_critical_power,8m_critical_power,10m_critical_power,20m_critical_power,30m_critical_power,1m_peak_wpk,5m_peak_wpk,10m_peak_wpk,20m_peak_wpk,30m_peak_wpk,weightkg,weightstd,W,CP,Pmax,CP WPK,W WPK,Pmax WPK
630,05733228-19c1-4766-a688-6341bb85b996,53,F,34,34,0,0,0,551.0,362.8,233.78332999999998,226.07222000000002,220.33333,215.14375,213.80167000000003,210.11417000000003,203.62222,4.07786,3.28856,3.19107,3.13603,3.03914,67.0,0.0,3673.8431391161866,207.1888752209493,551.0,3.0923712719544674,54.833479688301296,8.223880597014926
632,cd33ed51-4f9d-4b42-b1db-68411d13c429,49,M,581,394,0,0,187,1880.0,1922.6,353.64167000000003,301.42222000000004,277.52333,250.56042000000002,247.29833,226.1175,221.76556000000002,7.22313,3.3445300000000002,2.99756,2.75753,2.7044599999999996,81.56919104991394,3.133533457724424,18077.994903436993,212.16789414075285,1880.0,2.601078806959392,221.62773310298834,23.047917673347865
633,d8814b25-9784-4348-9569-40847a564782,58,M,430,163,0,0,267,759.0,498.2,315.28333,302.44444,270.75333,252.22481000000002,249.14167,235.87582999999998,218.63443999999998,5.09905,3.8679,3.5591699999999995,3.36965,3.12335,70.53802325581395,1.0545172226590138,14095.084468085115,224.25348297872338,759.0,3.179185815364336,199.82250448056547,10.760154097987726
634,5165201d-92e3-4edf-9ed7-21a65bbabcca,49,M,125,112,13,0,0,727.06463,616.4,301.4,293.73888999999997,280.82667000000004,275.87082999999996,273.40167,262.62417,238.02111000000002,3.7061900000000003,2.8835900000000003,2.80734,2.6226700000000003,2.44405,97.964792,1.6057136555076907,8399.572890343698,256.4563874140753,727.06463,2.617842412344175,85.74073112250059,7.421693193611843
635,e181821a-1314-40d3-bd85-4aa9417e94ac,0,M,89,89,0,0,0,1077.0,930.73333,397.51667000000003,360.32222,332.66667,315.57292,307.83333,298.8225,276.875,6.00526,4.377190000000001,4.05044,3.85322,3.53796,79.15730337078651,2.416321755763266,12819.289502455009,287.944244386252,1077.0,3.6376206884849442,161.9470213936829,13.605819730305182
636,3ca34ae7-17f4-4973-a6a3-bcf694e6307f,0,M,918,562,1,2,353,1360.0,1023.40487,518.65,457.35555999999997,427.49667,368.11146,361.81917000000004,347.325,323.39389,10.01498,6.1956,5.24376,5.0337,4.68687,69.00217864923748,0.06600983619844496,20907.516991816723,328.9711120458265,1360.0,4.767546742518134,302.9979255886548,19.709522606718867
637,abd1f34d-16b2-4781-9310-0d0d1d11ce60,29,M,426,410,1,0,15,1527.0,1233.53333,546.14167,518.12778,464.34667,427.92708,429.61832999999996,388.2,370.89277999999996,10.70026,7.37058,6.8193399999999995,6.1619,5.88719,63.08450704225352,0.5759038859329245,31500.43774468082,364.3403438297873,1527.0,5.77543300109732,499.33714665602554,24.205626255860683
638,b9504a62-6683-4e6c-a2fb-9649777091c4,30,M,75,38,18,0,19,1198.0,903.73333,355.025,344.3,309.17332999999996,304.38125,298.52667,270.95167000000004,246.80556,5.8382,3.4738599999999997,3.3542300000000003,3.0444,2.7731,89.0,0.0,20571.797607201326,256.11699819967265,1198.0,2.8777190808951985,231.14379333934073,13.460674157303371
639,9c4ae4d6-b6f2-413b-8907-39c90d5ad254,28,F,376,118,95,118,45,536.0,394.0,225.21667000000002,223.17222,203.5,202.37813,200.3,188.65667,161.24333000000001,4.55088,3.57018,3.51404,3.30977,2.82883,57.00505319148936,0.06928970940758251,9080.394304418995,181.93452389525368,536.0,3.191550813646391,159.29104168917192,9.402675201433244
640,a9d1148c-711b-438f-b188-2b55b2ae3dcc,42,M,586,520,0,0,66,946.0,730.46667,410.44167000000004,375.37222,357.94,335.975,330.89,313.67,304.19777999999997,7.41602,5.54946,5.13008,4.8631,4.71624,64.5,0.0,15229.237021276582,301.97400468085107,946.0,4.681767514431799,236.1122018802571,14.666666666666666
642,c61d6d26-2780-4b02-abc6-00230d37b0b6,55,M,375,370,0,0,5,1218.0,874.6,342.7,312.65556000000004,259.03667,248.67292,243.69167000000002,226.72875,204.78972,6.01353,3.5757800000000004,3.36396,3.1298,2.83258,72.28065333333333,1.1158572002122842,18330.08114238952,211.63015440261864,1218.0,2.927894874257067,253.59595267986217,16.850982162308437
643,639fcff2-69a2-4c39-af7d-efe2ac06a2ee,32,M,10,10,0,0,0,1076.0,800.06667,375.6,371.25556,350.74,317.41667,314.34333,303.8825,259.93056,7.646439999999999,4.6765300000000005,4.1912400000000005,4.051769999999999,3.4657400000000003,75.0,0.0,13210.974510638305,292.5232123404255,1076.0,3.9003094978723403,176.14632680851074,14.346666666666666
644,7ad25200-694b-49f3-a978-1ac9d8f4b22f,29,M,305,260,20,2,23,678.0,471.06667000000004,297.39167000000003,272.44444,261.95667000000003,250.425,241.15667000000002,215.99832999999998,206.78667,5.60722,4.36594,4.01928,3.59997,3.44644,60.00107475409835,0.0187697733988088,18136.165227495905,203.4924131260229,678.0,3.3914794686594085,302.26400613360886,11.299797591603799
645,a070416d-f1ab-4692-b6d8-72def808bfd7,42,F,468,418,0,0,50,954.0,629.06667,357.53333,329.84443999999996,299.69,271.26457999999997,276.78333,255.17,252.45722,5.82055,4.10534,3.79155,3.49548,3.4583199999999996,73.0,0.0,16456.8509361702,242.28682595744684,954.0,3.318997615855436,225.43631419411236,13.068493150684931
646,706aa871-617c-46bb-a513-8f627e017bff,38,M,1013,584,294,87,48,1379.0,954.1333300000001,398.75,362.17778,351.72,335.46457999999996,332.255,294.37417,269.81944,7.915039999999999,4.59964,4.284680000000001,3.90935,3.6397699999999995,74.73540967423493,1.879836544957066,22960.834369885357,279.25758752864164,1379.0,3.736616802475572,307.22832014930555,18.451762103277947
647,6e41e6da-36dd-4ba1-b33d-f37aaaded6f8,48,M,337,336,0,0,1,943.0,2376.0,490.4,362.08889,327.29332999999997,303.47917,300.67332999999996,284.97167,259.91333,11.23709,4.60977,4.23484,4.01369,3.66075,71.0,0.0,16298.852975450049,271.5530861374796,943.0,3.824691354049009,229.56130951338096,13.28169014084507
648,cc6bfd83-12d7-4caf-a76b-3fa646955c87,54,M,377,318,8,4,47,1202.0,895.73333,452.88333,407.32222,359.78667,338.06875,331.22167,296.15207999999996,273.15443999999997,8.05211,5.067419999999999,4.626,4.1711599999999995,3.84725,71.09708222811672,0.2212560279917384,28418.965031096595,274.80920222585917,1202.0,3.8652669506763604,399.7205530870262,16.906460326224835
649,35f3759a-cce9-4f8e-a16f-27c7d516e209,50,M,168,0,0,18,150,997.86594,743.18064,372.27779,353.75063,336.46962,309.7825,310.67154,284.33861,255.16201,4.92265,3.3647,3.10672,2.8433900000000003,2.55162,100.0,0.0,18314.133613747952,271.0257865630115,997.86594,2.7102578656301146,183.14133613747953,9.9786594
650,c7a164f3-c025-42bb-af9c-6c1943d06636,36,M,395,394,0,0,1,1190.0,979.5333300000001,451.58333,392.85556,362.57333,326.27707999999996,316.13,291.16667,280.60944,6.681369999999999,4.265569999999999,3.71918,3.42549,3.3012900000000003,84.99240506329114,0.08692746246522552,24234.366579378024,272.14127515548284,1190.0,3.2019481617543106,285.13567255017034,14.001251042535445
651,3c61dc3b-68c0-4a2d-8724-6a744abe6d19,0,F,125,116,1,0,8,628.0,564.0,327.63333,315.72778,297.28333,278.13125,273.375,254.96,246.29944,5.56194,4.43706,4.08022,3.80537,3.67611,67.0,0.0,15463.365270049107,243.27542248772505,628.0,3.6309764550406722,230.79649656789712,9.373134328358208
652,9d2e80bf-da5a-48d6-b651-f30a78ef0066,38,M,594,21,1,1,571,1266.0,1031.4,520.8974099999999,471.34404000000006,382.14204,357.02805,347.57534,315.72292000000004,315.19583,8.06882,4.68199,4.34469,3.94654,3.93995,81.1419191919192,1.146992704106502,33679.15005564646,288.17540608837976,1266.0,3.5514985220743793,415.06474570791903,15.602293026932484
654,1a1c087d-e733-493a-b944-2d274dd62a10,50,M,47,38,3,2,4,1352.0,816.12087,424.55744000000004,374.98791,328.93034,304.06092,290.52796,263.15263,264.54348,6.17707,4.11163,3.6316,3.2894099999999997,3.3067900000000003,79.98723404255321,0.08751899489873588,27081.472762684134,241.95979932896887,1352.0,3.0249802012186877,338.57243705010217,16.9026972389211
655,2dfd5796-f7e4-40b8-b6bb-28e31819acde,37,M,7,3,0,0,4,440.0,303.4,233.18332999999998,228.15556,225.04667,223.85207999999997,217.76,213.58333,207.63778,4.0078,3.6297800000000002,3.51226,3.44489,3.3489999999999998,62.0,0.0,4576.814985270044,210.22997368248772,440.0,3.390806027136899,73.81959653661362,7.096774193548387
657,c607f385-e3c3-441a-976d-59fc32da7336,38,M,864,813,22,26,3,1151.0,799.6,453.67082999999997,408.23888999999997,381.82,361.50208,334.01833,312.12667000000005,305.38333,8.10706,5.68185,4.9411,4.5901,4.4909300000000005,67.60486111111109,0.6001004003805418,25749.005538461468,292.2646253846155,1151.0,4.323130327925203,380.87506009578254,17.025402923441984
658,afced8f5-3614-4c93-9a7d-dba3da3ddcc0,38,M,446,391,1,0,54,1016.0,839.0666699999999,356.20833,329.80556,319.81333,293.20207999999997,288.815,279.7475,273.14722,6.90355,4.39843,3.9721,3.8474,3.75662,72.7043714349776,0.2303999877286281,10677.189800327324,270.8858699181669,1016.0,3.7258539558440567,146.85760415212937,13.974400437649736
660,14b961a3-64d5-4a6a-9578-5c351cd2b405,67,M,824,346,358,24,96,2081.0,1092.2,347.35,324.85556,299.44667000000004,273.68125,258.59167,252.41332999999997,241.14667000000003,4.69866,3.4419199999999996,2.97232,2.9013,2.7718,86.69174757281553,0.7225779784826177,14686.0387463175,239.49099342062192,2081.0,2.762558145681223,169.40526817713723,24.004591651034524
661,614d4037-3a82-4c00-89dd-64ab6b35b18a,57,M,920,907,0,0,13,847.0,668.0,314.71667,292.47778,278.52,270.11875,255.47167000000002,251.96,216.13111,5.79925,4.354830000000001,3.9944599999999997,3.96769,3.37935,65.07847235869566,1.4941662570564194,9428.560566284781,243.99339842880525,847.0,3.7492182834897676,144.8798692494962,13.015056581715005
662,b5d0789b-e0e3-4266-a5eb-0dd7a45d6c23,0,M,811,274,347,190,0,553.0,453.66667,248.23333,222.97777999999997,219.80333,206.31667,203.61667,194.565,189.485,4.19564,3.2305599999999997,2.99265,2.85962,2.78495,68.03885000000001,1.4219624141963913e-14,7477.389358428787,188.9863603927987,553.0,2.7776242601513497,109.89882043022165,8.127709389561991
663,cfd2277c-8a91-4c39-8f56-37accdd80305,30,M,74,47,0,0,27,1343.0,1008.0666699999999,439.60832999999997,394.01111000000003,339.19333,293.29582999999997,287.48667,284.645,268.64444,7.41948,4.40511,3.73359,3.6966900000000003,3.48889,77.0,0.0,16618.50710965629,268.0064925859247,1343.0,3.480603799817204,215.8247676578739,17.441558441558442
665,9e46e144-0ac8-41cd-a642-415164e59f42,29,M,282,145,61,0,76,1000.0,1000.0,603.97838,463.81243,426.5517,381.4686,359.65657000000004,340.38815,285.17259,11.78727,5.92433,4.99523,4.727609999999999,3.9607300000000003,72.0,0.0,27353.320909983653,317.65756250409163,1001.0,4.411910590334606,379.90723486088405,13.902777777777779
666,c74e5871-2ab5-4f90-9ccd-88e195016b2c,22,M,17,17,0,0,0,530.0,424.2,217.4875,204.35556,193.105,171.0,170.665,164.57542,143.82306,4.863180000000001,3.511,3.103,2.99228,2.61496,55.0,0.0,7484.914684124378,158.05440896890346,530.0,2.8737165267073355,136.0893578931705,9.636363636363637
668,e8518704-9824-4c36-a026-01191febad14,54,M,728,715,0,0,13,1356.0,807.6666700000001,443.73332999999997,434.03889000000004,414.12667000000005,384.31042,364.275,345.8775,332.68611,6.21555,4.8571599999999995,4.272469999999999,4.0988,3.95495,85.47723351648352,0.9582952871438076,22029.557253682462,328.4942165793781,1356.0,3.84306093055797,257.72426583546667,15.86387327028439
669,1436acf3-6373-49e0-951d-f810b64a1e0e,40,M,47,12,17,7,11,816.0,435.33333,345.875,327.63889,288.72,250.12292000000002,254.34332999999998,220.47582999999997,208.50666999999999,5.05023,3.9550699999999996,3.4841599999999997,3.02022,2.85626,73.0,0.0,25333.79237970538,201.16903507364975,816.0,2.755740206488353,347.038251776786,11.178082191780822
670,cca9b305-cb97-4b01-908e-fbbd26885f8d,0,M,681,296,1,0,384,1200.0,1200.0,565.80833,488.46667,437.98667,402.82707999999997,371.63333,355.5225,352.11556,11.246080000000001,6.440980000000001,5.4652,5.228269999999999,5.17817,68.0,0.0,29307.9141603928,330.75460990180034,1200.0,4.864038380908829,430.9987376528353,17.647058823529413
671,a92dfa6f-7692-4063-bb33-0f9175ae7fd6,49,M,43,2,0,0,41,1337.0,701.46667,289.35,275.98888999999997,275.33,266.18542,263.32167000000004,243.83583,225.06832999999997,6.79638,3.9902900000000003,3.8162599999999998,3.53385,3.26186,69.0,0.0,11683.182972176786,236.30498695581014,1337.0,3.424709955881306,169.3214923503882,19.3768115942029
673,c78b4183-022e-4efa-9300-85e7c5499c85,52,F,687,383,47,6,251,2000.0,679.06667,294.23332999999997,275.87222,256.95,256.07917000000003,245.13332999999997,232.90667000000002,230.27889,6.06644,3.56875,3.4046300000000005,3.23481,3.1983200000000003,72.0,0.0,12113.03256628479,223.85807842880524,2000.0,3.1091399781778506,168.23656342062208,27.77777777777778
674,b6cdbac2-7e02-44a5-a72f-12cb9f64ac61,25,M,396,216,27,0,153,1190.0,786.06667,402.575,348.53333,309.86332999999996,288.70207999999997,284.34833,272.96167,244.85943999999998,8.134739999999999,4.364269999999999,4.00491,3.8445300000000002,3.44872,70.97222222222223,2.136692371337711,14870.69071031094,260.1598524222586,1190.0,3.665657411820473,209.52832311984102,16.767123287671232
675,b413bada-8941-4ab7-a314-28dd4f5f123b,54,M,544,542,0,0,2,1163.7,956.6926,446.23208,368.6188,320.54283,297.16427000000004,287.00064,268.875,259.31444,7.234039999999999,4.71117,4.21819,3.9517900000000004,3.8112699999999995,68.03885000000002,2.844786839538028e-14,21569.154736497527,251.04227587561377,1163.7,3.689690167832256,317.0123354009881,17.103463682881173
678,ba407348-2485-4d61-9994-1ea549730b7b,23,M,225,223,0,0,2,1260.0,996.1333300000001,515.24167,452.48332999999997,426.47667,399.2875,387.98,359.45583,355.62056,8.68487,6.56118,5.96892,5.53009,5.47109,65.0,0.0,24564.80477577739,341.0490960556465,1260.0,5.246909170086869,377.9200734734983,19.384615384615383
679,1c9d5b29-4cfe-4294-a2e8-8f4f23a25149,46,M,838,417,340,3,78,2088.0,995.9333300000001,459.11667,434.00555999999995,407.11,357.89375,346.415,333.29,330.15056,7.81535,5.25114,4.549180000000001,4.4107199999999995,4.31623,77.28325178997613,1.5845649862928697,20188.193715220958,315.8350511947627,2088.0,4.0867205232651385,261.2233989595068,27.017496697399835
680,689ccc92-6bc8-4a7b-a4ae-1b09748e6687,50,M,98,72,0,0,26,719.0,379.73332999999997,280.91667,270.44444,251.25667,230.70625,219.46167000000003,210.67583,204.38056,3.8142199999999997,3.3500900000000002,2.92616,2.80901,2.72507,75.0,0.0,13185.089941080194,199.6612347299509,719.0,2.6621497963993455,175.80119921440257,9.586666666666666
684,6dce59a3-ae52-48ab-afa4-a0d853682e67,59,M,200,200,0,0,0,823.0,733.73333,369.89167000000003,328.57222,297.39333,288.26042,282.13333,271.51667000000003,254.65972000000002,5.60364,3.9119300000000004,3.7112,3.57155,3.3498099999999997,76.02207999999997,1.4246515636304072e-14,12485.881993453339,261.24572163666124,823.0,3.436445327945004,164.24020486486745,10.825802187995912
685,336a6782-a80f-486c-bc6e-f3fa2478c8a2,43,M,23,15,1,0,7,623.0,549.8,341.55832999999996,338.88333,331.24667,322.13125,318.89833,313.52667,309.26944,3.80263,3.4868099999999997,3.35682,3.3002800000000003,3.25547,95.0,0.0,5877.473675941059,308.81427101472997,623.0,3.2506765369971578,61.868143957274306,6.557894736842106
686,6eb2f3a4-b15c-42ae-9569-83332ccfb7a0,0,M,900,43,0,0,857,2064.0,931.66667,427.35,353.26111000000003,304.95667000000003,292.9375,278.55832999999996,274.79332999999997,254.89056000000002,7.9722800000000005,4.02855,3.6484400000000003,3.59913,3.3560300000000005,76.49322222222223,0.881015729630933,14497.318448445149,261.42061788870706,2064.0,3.4175657698043884,189.52422224192168,26.98278278830804
688,fd4bd83b-369f-4841-b71b-1899e0e3baad,0,M,1913,1605,215,46,47,884.0,654.26667,421.16667,397.34443999999996,332.52667,306.8625,299.70667000000003,294.385,247.85778,5.01486,3.72974,3.4314199999999997,3.37049,2.75731,91.27353580763194,3.050731097625526,16902.664428805234,278.1672127986907,884.0,3.0476217485970496,185.18691402981563,9.68517316851971
689,5637f701-4dc5-42e0-9a37-eef8d895a7ed,48,M,383,377,0,0,6,1467.0,980.66667,430.56667000000004,404.78889,365.91667,351.84375,345.86167,313.305,296.69777999999997,7.9553899999999995,5.381130000000001,5.0862,4.60743,4.3632,68.0,0.0,24756.783004909987,295.2044187725041,1467.0,4.341241452536825,364.0703383074998,21.573529411764707
690,00b08a80-d090-4b05-9d7b-3d8f95c7159b,40,M,1584,741,608,213,22,763.0,579.0,319.85,302.46667,274.76667000000003,263.88125,259.18667,241.34332999999998,238.00832999999997,4.56562,3.4345800000000004,3.23983,3.0167900000000003,2.9751,80.0,0.0,15297.100792144047,229.69211196399343,763.0,2.871151399549918,191.2137599018006,9.5375
691,12a9a5f7-9f71-4ffd-ba92-c9455e8d0b42,0,M,939,867,65,0,7,851.0,703.6,415.32333,374.14056,336.34,303.44167000000004,300.63167000000004,279.45083,252.62556,8.117569999999999,5.50475,4.920319999999999,4.57366,4.13462,61.100000000000016,1.4218427779803054e-14,20560.846261865838,262.7942745335515,851.0,4.301051956359271,336.51139544788595,13.927986906710307
692,7f5d6238-e93a-4f1d-be45-e15521000bc9,26,M,225,47,132,43,3,612.0,526.53333,295.32083,280.25278,267.395,253.28646,240.1375,226.265,220.67111,5.30104,3.78211,3.3965699999999996,3.20035,3.1212299999999997,70.04666666666667,0.1750000000000007,14578.501433715224,215.16646157119476,612.0,3.071758754704408,208.12555582538153,8.737032454554107
693,ac020c34-4f25-4684-83e8-edd9fc9a21f0,57,M,746,746,0,0,0,1339.0,858.66667,409.78333,385.13333,361.26667000000003,339.7375,332.91167,301.00833,275.56,6.17434,4.7535099999999995,4.38042,3.96064,3.6257900000000003,76.0,0.0,23713.29303436991,283.9438314075286,1339.0,3.7361030448359025,312.0170136101304,17.61842105263158
694,8426e48a-effc-486c-89c9-1fbf9c9fc731,55,M,836,676,19,0,141,978.0,796.3333299999999,374.40833,346.0,312.96,288.19375,284.18167,275.0425,270.10944,7.21903,4.59858,4.17914,3.9879300000000004,3.9146300000000003,67.61182177033493,0.8636784376405642,13400.908880523726,263.2395798690671,978.0,3.8933957550092955,198.20363554237863,14.464926020217119
697,12142f2a-7970-4a96-8ab8-866977b60763,0,M,123,123,0,0,0,1131.0,862.26667,364.79167,319.71667,274.87,260.14792,256.26167000000004,235.1025,217.94,6.38405,3.92671,3.66088,3.3586099999999997,3.11343,70.0,0.0,19424.641551554843,219.75668211129297,1131.0,3.139381173018471,277.49487930792634,16.15714285714286
698,d127ab04-6539-4d0e-b9bf-5bd242e0d36b,46,M,4081,539,730,122,2690,704.0,606.43333,378.05,355.23888999999997,311.85332999999997,306.0,306.0,306.0,305.83,5.37711,4.15804,4.08,4.08,4.07773,74.99926488605733,0.04696106715124071,6527.577888707019,298.9888978232406,704.0,3.9865577119653057,87.03522492685822,9.386758671162342
699,caaad867-cd2c-4918-842b-d6b8599c73cf,64,M,1373,1185,0,0,188,1012.0,1000.0,324.14838,296.86876,266.42883,250.06559,242.77906000000002,212.37833999999998,201.90013000000002,7.30348,3.91583,3.5682400000000003,3.12143,2.96742,68.03885000000001,1.4216032654785455e-14,23320.67927332243,195.40918166939443,1012.0,2.8720235816653927,342.7553415926698,14.873855157751782
700,5fe9c93a-fbf8-4aac-ba42-a76538587ab7,0,M,136,56,4,1,75,1247.0,427.0,306.71667,280.35556,266.94333,261.58957999999996,260.18833,256.66,238.83277999999999,5.136769999999999,3.7968300000000004,3.70076,3.6505699999999996,3.39701,70.30682,0.0,4654.876664484444,252.64735387888712,1247.0,3.5934971014033503,66.20803877183528,17.736543908542586
702,4af76642-ca6e-43be-b5f8-5c6519be00a9,31,M,488,487,0,0,1,1478.0,1145.2,531.55,489.83333,439.71333,415.75521000000003,405.38583,388.21707999999995,353.97,9.19444,6.09316,5.5305,5.29628,4.87951,73.43178278688524,1.218390183214393,21519.646625204652,370.2219136988542,1478.0,5.041712180314586,293.0563008072305,20.12752440301596
703,8a57eaa5-2776-42a9-9498-3ede1b0d6eb7,30,M,57,29,1,10,17,1109.0,936.4,399.5,394.86667,383.71667,374.42082999999997,371.42832999999996,345.6325,303.42056,6.97244,5.116219999999999,4.952380000000001,4.60843,4.04561,75.0,0.0,16196.902703764325,334.8074740589198,1109.0,4.464099654118931,215.95870271685766,14.786666666666667
